,TCGA-CZ-5455-11,TCGA-CZ-5467-11,TCGA-B0-5697-01,TCGA-BP-4177-01,TCGA-B0-4815-01,TCGA-B2-3924-01,TCGA-B0-4843-01,TCGA-B0-5701-01,TCGA-B0-4828-01,TCGA-CZ-5982-01,TCGA-B0-4706-01,TCGA-CJ-4918-01,TCGA-MM-A564-01,TCGA-B0-4813-01,TCGA-CZ-5458-01,TCGA-B8-A54D-01,TCGA-CZ-5460-01,TCGA-CZ-5451-11,TCGA-BP-5191-01,TCGA-DV-A4VX-01,TCGA-AK-3425-01,TCGA-CZ-5468-01,TCGA-BP-5189-01,TCGA-B4-5844-01,TCGA-CZ-5451-01,TCGA-CW-5585-01,TCGA-CW-5583-01,TCGA-CJ-5678-01,TCGA-CZ-5464-01,TCGA-B8-5162-01,TCGA-A3-3385-01,TCGA-CW-5580-01,TCGA-CJ-4901-01,TCGA-B0-4814-01,TCGA-B2-5633-01,TCGA-CZ-5453-11,TCGA-CZ-5985-01,TCGA-MM-A84U-01,TCGA-B8-5553-01,TCGA-CZ-5458-11,TCGA-B0-4819-01,TCGA-B0-4694-01,TCGA-GK-A6C7-01,TCGA-A3-3367-01,TCGA-B0-4848-01,TCGA-CW-5587-01,TCGA-A3-A8OX-01,TCGA-B0-4691-01,TCGA-AK-3428-01,TCGA-B0-4852-01,TCGA-BP-5183-01,TCGA-DV-5576-01,TCGA-B0-4822-01,TCGA-B0-5712-11,TCGA-A3-A6NI-01,TCGA-CZ-5466-01,TCGA-BP-5010-01,TCGA-BP-5186-01,TCGA-CJ-4916-01,TCGA-B0-5695-01,TCGA-B0-5120-01,TCGA-B0-5712-01,TCGA-B0-4712-11,TCGA-B0-5100-01,TCGA-BP-4770-01,TCGA-CW-5589-01,TCGA-G6-A5PC-01,TCGA-B0-5711-01,TCGA-B0-4945-01,TCGA-CZ-5470-11,TCGA-B0-5110-01,TCGA-T7-A92I-01,TCGA-B0-5102-01,TCGA-CZ-5470-01,TCGA-CJ-4912-01,TCGA-B0-5108-01,TCGA-EU-5904-01,TCGA-B0-5705-01,TCGA-BP-5177-01,TCGA-CZ-5457-01,TCGA-B0-5399-01,TCGA-CZ-5986-01,TCGA-B8-4146-01,TCGA-B0-5700-01,TCGA-BP-5201-01,TCGA-B8-5550-01,TCGA-B0-4688-01,TCGA-B0-5115-01,TCGA-B0-4701-01,TCGA-CW-6090-01,TCGA-A3-3376-01,TCGA-B0-4703-01,TCGA-CJ-5677-01,TCGA-AK-3454-01,TCGA-B8-5159-01,TCGA-BP-5170-01,TCGA-CJ-6033-01,TCGA-B0-4690-01,TCGA-A3-3357-01,TCGA-CZ-5461-01,TCGA-BP-4760-01,TCGA-B0-5713-01,TCGA-B2-5636-01,TCGA-B8-5549-01,TCGA-B0-5106-01,TCGA-CZ-5468-11,TCGA-B0-5095-01,TCGA-B0-4844-01,TCGA-B0-4700-01,TCGA-A3-A8OV-01,TCGA-BP-5168-01,TCGA-B8-5158-01,TCGA-AK-3460-01,TCGA-CJ-4902-01,TCGA-B0-5696-01,TCGA-BP-5174-01,TCGA-6D-AA2E-01,TCGA-B0-5693-01,TCGA-B0-4811-01,TCGA-B0-5692-01,TCGA-B8-A54H-01,TCGA-CJ-6030-01,TCGA-BP-5202-01,TCGA-BP-5194-01,TCGA-CZ-5465-11,TCGA-CZ-5457-11,TCGA-A3-A6NL-01,TCGA-CJ-4903-01,TCGA-BP-5185-01,TCGA-B0-4818-01,TCGA-B4-5832-01,TCGA-AK-3461-01,TCGA-CZ-4864-11,TCGA-B8-A54G-01,TCGA-B8-A7U6-01,TCGA-AK-3450-01,TCGA-A3-A6NN-01,TCGA-CZ-4856-01,TCGA-CJ-5680-01,TCGA-CZ-5454-11,TCGA-B0-4823-01,TCGA-CZ-5987-01,TCGA-B8-4621-01,TCGA-CZ-4865-11,TCGA-B2-A4SR-01,TCGA-B4-5835-01,TCGA-BP-5169-01,TCGA-B0-4693-01,TCGA-B0-5691-01,TCGA-CZ-5462-11,TCGA-CJ-6028-01,TCGA-CJ-5671-01,TCGA-B0-5706-01,TCGA-B0-5402-11,TCGA-B0-5092-01,TCGA-B0-5121-01,TCGA-BP-5184-01,TCGA-B0-5702-01,TCGA-B2-4101-01,TCGA-CZ-5461-11,TCGA-B0-5710-01,TCGA-BP-5199-01,TCGA-CJ-5683-01,TCGA-CW-6097-01,TCGA-B0-5107-01,TCGA-AK-3440-01,TCGA-CZ-5465-01,TCGA-B8-5545-01,TCGA-CZ-5984-01,TCGA-B0-4712-01,TCGA-AK-3431-01,TCGA-CZ-5455-01,TCGA-AK-3453-01,TCGA-G6-A8L7-01,TCGA-B0-5098-01,TCGA-B4-5378-01,TCGA-B0-5096-01,TCGA-B0-5711-11,TCGA-BP-5176-01,TCGA-CW-5581-01,TCGA-B2-5641-01,TCGA-A3-3387-01,TCGA-CJ-4882-01,TCGA-DV-5573-01,TCGA-BP-5187-01,TCGA-B4-5377-01,TCGA-CJ-5675-01,TCGA-MM-A563-01,TCGA-B0-4846-01,TCGA-DV-5567-01,TCGA-CW-5588-01,TCGA-BP-4993-01,TCGA-A3-A8OW-01,TCGA-B0-4699-01,TCGA-CJ-4905-01,TCGA-B8-A54J-01,TCGA-B0-5699-01,TCGA-CZ-5456-11,TCGA-DV-5569-01,TCGA-3Z-A93Z-01,TCGA-B0-4847-01,TCGA-BP-5192-01,TCGA-B0-4718-01,TCGA-B0-5707-01,TCGA-CZ-4863-11,TCGA-B0-5402-01,TCGA-B0-4713-01,TCGA-A3-A8CQ-01,TCGA-A3-A6NJ-01,TCGA-B8-5546-01,TCGA-EU-5906-01,TCGA-CJ-4920-01,TCGA-CJ-5672-01,TCGA-BP-4782-01,TCGA-B0-5117-01,TCGA-CJ-6032-01,TCGA-AK-3433-01,TCGA-G6-A8L8-01,TCGA-CZ-5452-11,TCGA-B0-4827-01,TCGA-CJ-4908-01,TCGA-CZ-5989-01,TCGA-B0-4810-01,TCGA-B0-4698-01,TCGA-BP-5175-01,TCGA-BP-5198-01,TCGA-CZ-4865-01,TCGA-B0-4849-01,TCGA-BP-5182-01,TCGA-BP-5180-01,TCGA-B8-5165-01,TCGA-CZ-4853-01,TCGA-B0-5698-01,TCGA-DV-A4W0-05,TCGA-CJ-5679-01,TCGA-CZ-5467-01,TCGA-B8-5164-01,TCGA-BP-5173-01,TCGA-B0-4824-01,TCGA-CW-5591-01,TCGA-DV-5575-01,TCGA-B0-4845-01,TCGA-CW-5590-01,TCGA-B0-4841-01,TCGA-CZ-5469-11,TCGA-CZ-5463-11,TCGA-BP-5181-01,TCGA-A3-3358-01,TCGA-DV-5566-01,TCGA-DV-A4VZ-01,TCGA-B0-4697-01,TCGA-B0-5116-01,TCGA-B8-5163-01,TCGA-CZ-5452-01,TCGA-CW-5584-01,TCGA-B0-5690-01,TCGA-CJ-6027-01,TCGA-B0-5083-01,TCGA-CZ-5463-01,TCGA-CZ-5459-01,TCGA-DV-5565-01,TCGA-CJ-4907-01,TCGA-CZ-4864-01,TCGA-B8-4153-01,TCGA-CW-6087-01,TCGA-B0-4821-01,TCGA-CJ-6031-01,TCGA-EU-5907-01,TCGA-BP-4795-01,TCGA-CZ-5466-11,TCGA-CZ-5456-01,TCGA-B0-5400-01,TCGA-AK-3458-01,TCGA-CJ-5686-01,TCGA-B0-5113-01,TCGA-CJ-5676-01,TCGA-BP-5195-01,TCGA-CJ-5689-01,TCGA-B0-4817-01,TCGA-BP-5200-01,TCGA-B0-5109-01,TCGA-CZ-4866-01,TCGA-B8-A54K-01,TCGA-B0-4707-01,TCGA-B0-5097-01,TCGA-CW-6088-01,TCGA-B2-5639-01,TCGA-B8-A54I-01,TCGA-B8-A54F-01
hsa-mir-1291,0,0.823876,0.563741,0.291693,1.414117,0,0,0,1.75186,0.677956,0.758681,0.792123,0.586078,0.890577,0,1.70201,2.961366,0,1.525868,0,0.554461,0.904335,2.037093,0,0.829536,0.867201,0.737038,2.412532,1.583368,1.178712,1.5952,0.484128,1.411467,0.772545,0.940362,0,2.524077,0.195762,0.761696,0.585084,2.142473,0,0.554112,2.447408,0,0.607857,0.263361,0.835996,2.978111,2.771214,0,0.451447,0.970564,0,0.164467,1.314339,0.593064,1.217795,0.592129,0.217972,1.961214,2.314129,1.051858,0,0.583753,0,0,1.150449,2.511594,0.446356,0,0,3.633309,0.345182,0,1.941867,0.92603,0.914954,0.808229,0.243687,0,1.421766,0.747446,1.277291,1.216794,0.897198,0,1.019522,0,2.247376,0.72962,0,1.701307,0.596656,1.672111,0,0.559604,0,1.256949,0,0,0,0.453039,1.077066,2.16041,1.875576,0.497363,3.259191,0.531398,0.860766,0,1.551193,0.319313,0.556704,0.487325,0.558735,0,0.395795,0,1.055724,0,3.487537,0,0.462384,0.203683,1.540768,0.141149,3.344325,1.557796,0.646766,0.4669,0,0,0,0.126702,0,0,0.353958,2.027549,0.559223,1.111038,2.945949,0.845245,1.174407,0.617288,0.990272,0,0.536099,0.171568,1.192634,0.683292,0.680742,0,0,1.392346,1.956715,0.397881,0.983868,1.584194,0.359014,3.307908,0,0.688454,0.866132,2.54067,0.412032,0.897779,0.63363,1.809254,0.956779,0.305259,0.797608,0,0,5.459931,0.330203,0,0.457547,0.306421,1.372846,0.590669,0.489293,0,0.686081,0.839763,1.232408,1.116588,0.805933,0,0,2.3394,1.015139,0.117948,0,0.421973,0.247876,0.456004,1.97197,0,0.511106,1.949918,0,1.638028,1.244792,0.556718,2.224405,3.936078,0.484745,0,0,0.691248,0,1.10868,0,1.701377,0.315699,0,3.664255,0.509242,0,0.37647,1.501212,0.469069,1.86652,0,0,0.48885,0.376459,0,1.617362,2.035231,0.560095,1.372095,0.824311,0,0.777007,2.725257,0,0,1.056479,0.50087,1.027914,2.173928,0,0.147222,0.737364,0,0.388954,1.41093,0.256838,0,0,0.522822,0,2.007722,0.858059,1.790403,1.97865,0,0,0.694181,0.339248,0.982257,0.749911,0.269958,0.720999,0.38686,0.751742,0.358416,0.574662,0.956789,0.520005,0.68216,0.822244,4.584073,0.380443,0.621233,1.048746,0,0.732006,0.726906,0.428148,0,0,0,0.873546,2.350715,0.244028,0.483078
hsa-mir-4329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-6508,0,0,0,0,0,0,0,0,0,0,0.379341,0.792123,0.293039,0.445289,0,0,0,0,0,0,0.369641,0.452167,0,0,0.276512,0.650401,0,0.965013,0.316674,0,0,0,0,0.772545,0,0.558786,0.504815,0,0,0,0,0,0.138528,0,0,0.607857,0,0.278665,0,0,0,0,0,0,0,0,0,0,0,0,0.392243,0,0,0,0,0.399314,0,0,0,0,0.362366,0,0,0,0,0.647289,0,0.152492,0,0,0,0.284353,0,0.212882,0.405598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625192,0,0,0,0.215191,0,0.775597,0,0,0.243663,0,0,0,0,0.263931,0.342432,0,0,0,0,0,0,0,0.259633,0.215589,0,0,0,0,0,0.271482,0.26893,0.353958,0,0.279612,0.555519,0,0,0,0,0,0,0,0.171568,0,0,0,0,0,0,0,0,0,0,0,0,1.12259,0.344227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.590669,0,0,0.228694,0,0,0.279147,0.268644,0,0,0.46788,0,0,0,0,0,0,0,0,0,0,0,0.546009,0,0,0,0,0,0,0,0,0,0,0.511881,0,0.315699,0.347615,0,0.254621,0,0,0,0,0.622173,0,0.447042,0,0,0,0.404341,0,0,0,0,0,0,0,0,0,0,0.50087,0,0.543482,0,0,0,0.592835,0.388954,0,0,0.6025,0,0,0.420316,0,0,0,0,0,0.355162,0,1.017743,0.589354,0,0,0,0.38686,0,0,0,0.956789,0,0.409296,0,0,0,0.310616,0,0,0,0,0,0.16535,0,0,0,0,0,0
hsa-mir-6507,0.305364,1.647753,0,0,0,0,1.86612,0,0,0,0.18967,0,0,0,0,0,0,0.212873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.386273,0,0.838179,0,0,0,0.438813,0,0,0,0,0,0,0.13168,0,0,0,0,0.225724,0,0.503874,0.164467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.234627,0,0,0,0,0,0,0,0,0,0,0,0,0.405598,0,0,0,0,0,0.36481,0,0,0,0,0,0,0,0,0,0,0,0.151013,0,0,0.833589,0,0,0,0,0,0,0,0,0,0,0.157605,0,0,0.263931,0,0,0,0.924767,0.407366,1.848922,0,0.557388,0,0.646766,0,0,0,0,0.253403,0,0.26893,0,0,0.559223,0,0,0,0.782938,0.308644,0,0,0,0,0.397545,0,0,0,0,0,0,0,0,0,0.359014,0,0,0,1.732263,0,0,0,0,0,0,0,0,0,1.290239,0,0,0,0.228773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.353845,0,0,0.247876,0,0,0,0.170369,0,0,0,0,3.618664,0,0,0.242372,0,0,0.691248,0.530601,0,0,0,0,0,0.348977,0,0.623372,0,0.500404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.619437,0.245788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.339248,0,0,0,0,0,0,0,0.287331,0,0,0.136432,0,0,0,0,0.524373,0,0,0,0,0.082675,0,0,0,0,0,0
hsa-mir-6509,0.305364,0.274625,1.127483,0.145846,1.414117,0.892086,3.110199,1.940642,1.75186,2.033869,1.896703,1.584245,1.758234,3.117021,0.29735,2.978518,3.948488,0.425746,3.051737,7.485828,1.293742,0.452167,1.018547,0.942087,2.76512,1.300802,0.368519,2.895039,0.950021,0.589356,3.1904,0.968256,4.234401,0.772545,1.723996,0,2.524077,3.327952,0.761696,0.292542,1.713978,1.961132,1.800864,0.815803,1.34828,0.911785,2.633605,3.343986,0.992704,1.385607,2.487305,0.225724,4.367537,0,3.947214,1.314339,1.779191,2.435589,2.368518,0.653915,1.176729,0.99177,0,0,0,0.59897,3.167952,1.150449,2.009275,0.892712,1.449463,0.70388,1.453324,3.106635,3.25602,1.294578,0.92603,0.914954,2.828803,0.487375,1.314494,1.421766,5.979569,1.064409,1.622392,1.345797,0.787438,2.548805,1.006361,1.498251,0,0.812947,0.850653,0.298328,2.786852,1.206193,0,0,0,1.47373,0.311145,0.497595,0,1.615599,0,0.416795,1.492089,3.259191,2.656991,4.088637,0,2.32679,1.596563,1.113407,0.730988,1.11747,2.521677,0.791591,3.361183,0.527862,1.883376,2.325024,2.378113,1.849535,0.203683,0.308154,0.988046,8.9182,2.336694,1.293531,3.268297,0.705363,0.338426,3.032353,2.280629,0.542964,0.537859,1.415834,2.027549,0.559223,1.666557,0.58919,0.845245,0.391469,3.086441,3.961086,1.485399,2.144397,0.514703,0,0.683292,1.361483,0.418926,0,2.088518,2.445894,3.580929,0.491934,2.112258,0,1.240465,3.929066,2.065363,2.598395,1.016268,0.824063,0,0.63363,0.904627,4.305505,0.610518,0.797608,0.428485,8.70911,1.364983,0.495305,0,0.68632,3.064206,0.686423,0.590669,1.223231,1.063196,1.372161,1.679526,1.232408,1.116588,1.88051,2.999417,0.43426,5.61456,2.030278,1.769223,2.007065,0.421973,1.36332,1.368013,0.394394,1.549259,1.618502,8.287153,0.997435,0.546009,2.489584,0.278359,0.889762,0.98402,1.817792,1.672133,0,0.691248,5.836615,0.55434,1.535642,0,0.947097,0.347615,2.268348,0,1.246744,2.258821,0.500404,1.719921,0.311087,4.335808,7.152676,0,1.505835,0.541737,4.852086,0,2.800476,2.286825,0.494587,9.004642,1.165511,2.271048,1.592926,3.900318,5.282394,1.00174,0.513957,2.173928,3.729547,0.294443,0.245788,2.37134,1.555815,2.821861,1.027354,2.409999,0.620898,0.522822,2.521893,0.50193,0.858059,1.790403,0.989325,1.222146,1.065485,1.388363,2.374734,1.768062,2.499704,2.227154,2.403329,0.38686,2.255227,0.716832,0.287331,6.219126,1.560016,1.227888,2.466731,1.375222,3.423989,2.174315,1.048746,0.92311,2.196018,2.180718,0,1.405479,2.345848,1.873067,0.873546,6.582003,2.196256,2.65693
hsa-mir-4325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-6504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.593064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.311145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171568,0,0,0.680742,0.418926,0,0,0,0,0,0,0,0,0,0,0,0,0.412032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.388954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.470143,0,0
hsa-mir-4326,2.442914,1.647753,5.637414,0.729232,7.777644,1.784172,1.86612,1.940642,1.167906,0,0.948351,1.584245,6.739895,3.56231,0.89205,0,0,2.3416,3.051737,1.761371,4.990147,10.399852,1.52782,4.23939,0.276512,1.951203,1.842595,2.412532,4.750105,10.019048,0,9.198434,1.411467,1.931363,0,1.117572,5.55297,1.566095,0.761696,0.292542,5.570429,0.980566,1.800864,6.934323,0,0,4.477129,5.015979,1.985407,5.196027,0,2.257236,4.367537,7.810042,1.644672,3.680148,4.151445,1.826692,1.184259,2.397689,14.905228,6.281208,0,0.287354,21.015112,4.592105,2.573961,4.026573,3.516231,2.454958,2.898927,4.457907,0.726662,5.177725,5.860836,0,4.861657,1.829908,0.404115,0.731062,2.253418,3.412239,8.969354,2.128818,0.811196,1.794396,0,3.568326,2.012721,3.745627,6.93139,2.032367,4.253267,2.983281,0,0,7.274852,3.142972,3.142371,2.947459,3.111448,5.971136,0.453039,3.231199,0,0.833589,11.439349,1.955515,5.313982,1.50634,1.150784,25.594689,5.747626,5.010332,1.461975,3.911145,1.418444,2.374772,1.400493,0,1.883376,12.400131,0,2.774302,0.407366,0.616307,1.693793,0,3.634857,1.724708,6.536595,1.058045,1.353704,0,0,1.35741,0,2.477709,0.506887,2.516505,12.221421,8.837847,4.226225,0.391469,5.246949,12.87353,3.465932,1.608298,0.343135,4.372992,0.683292,0,2.094629,4.322885,5.569382,3.913431,2.785167,6.395139,2.640323,1.795069,2.067442,0,2.753817,3.464526,7.113875,0,1.346668,3.484964,2.713881,0,4.884142,5.317387,0,8.70911,0,0.495305,9.104748,2.058961,2.757786,2.059268,1.772008,2.446463,2.392192,5.259951,0,2.156714,3.070617,0,0.428488,1.302781,0.46788,2.030278,0,6.021195,1.687891,1.611197,2.052019,2.366364,2.323888,0,5.362275,0.997435,0.546009,11.203129,2.22687,2.669286,2.952059,0.121186,0,0,0,0,4.98906,9.213854,4.537004,8.523876,0,1.221418,0.763863,7.480467,1.505881,2.752222,0,13.68781,0,3.129296,0,1.129376,2.166949,0.808681,2.544039,1.12019,3.201554,1.648623,9.004642,0.777007,2.271048,3.982315,0,5.282394,2.003479,1.54187,7.608749,1.657576,0,1.474728,0.592835,1.944769,5.643721,2.825223,0.6025,0,10.456445,5.464102,2.007722,3.432238,8.952015,2.473313,2.2406,0.355162,3.008119,0.339248,1.964513,6.49923,4.994224,11.77631,7.737198,0,2.867328,9.481922,8.132703,0,2.182911,7.811315,3.667259,3.804432,0.621233,0,3.692438,1.464012,7.995964,2.568889,0.248026,4.691697,0.624356,3.930958,3.761145,5.368626,4.589242
hsa-mir-6503,0,0,1.127483,0.145846,0.707059,0,1.24408,0,0.583953,0,1.517362,2.376368,0,1.335866,2.081451,0,0.493561,0.212873,0.762934,0,0.739281,1.356502,0.509273,0,0.553024,0.433601,1.105557,0.965013,1.583368,1.768067,0,0,0,0.386273,0.783635,0,0,0.587286,2.665935,0,1.285484,0.490283,0.415584,0.815803,0.67414,0.607857,0.526721,1.114662,0.496352,1.732009,1.243653,0,1.455846,0,0.164467,1.314339,0.593064,0.608897,2.368518,0.653915,0.392243,0,1.051858,0,0.583753,0,0.791988,0,0.502319,0,0,1.40776,1.453324,2.761454,0,1.941867,0.463015,0.304985,0.404115,0.731062,0.37557,0.568706,1.494892,1.490172,2.027989,0.897198,1.574875,0.509761,1.509541,0,0.72962,2.032367,1.701307,0.596656,1.114741,0.603097,0.559604,0.523829,0.628474,0.368432,0.62229,0,0.906078,0.538533,1.620308,0.208397,0,0,0,0.860766,0,1.551193,0.957938,0.556704,0,0.558735,0.157605,0,0.280099,0.791793,0.171216,3.487537,0.951245,0,0,0.308154,0,0,0,1.293531,0.933799,0.352682,0.338426,0.336928,0.126702,0.814446,1.344648,0,1.013775,0,2.222077,0,0.281748,0,0.308644,0.990272,0.990266,1.072199,0.514703,0,2.049876,1.361483,0.418926,1.23511,0,0,1.193643,0.491934,1.056129,0.359014,0.413488,0.561295,1.032681,1.732263,0,0.412032,0,0.63363,0.904627,0.956779,0.610518,1.063477,0,0.967679,0,0.165102,1.213966,0.228773,1.838524,0,0,0.733939,0.265799,1.372161,0.839763,0.616204,1.395735,0.268644,0,0.21713,2.3394,0,0,0.669022,0,0,0.228002,0.394394,0,0.255553,0.48748,0,0,1.244792,0,0,0,0.605931,0.477752,0,1.382497,2.122405,0,1.535642,0,0.315699,0,0.697953,0,0,0,0,0.781782,0.93326,2.167904,1.341127,0.48885,0.752917,1.083475,0.404341,0,0.560095,0,0,0,0.971259,0.908419,0.398232,0,0.528239,2.003479,0.513957,0.543482,0,0,0.245788,0.592835,0.777908,0.705465,0,0.6025,0,2.091289,1.681262,1.003861,0,0,0.989325,0.203691,0.355162,1.388363,2.374734,0.785805,0.999882,1.282301,0.720999,0,0,0.358416,0.574662,0.478394,4.680048,1.36432,0.411122,0.458407,0,0.931849,0.524373,1.384664,1.098009,0.726906,0.856296,0.082675,1.759386,0.624356,0.218387,1.880572,0.488057,0
hsa-mir-4327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-6506,0.305364,0,0,0,0,0.446043,0.62204,0,0,0,0.18967,0,0,0,0,0.425503,0,0,0,0,0,0,0,0,0.276512,0.2168,0,0.482506,0,0,0,0.484128,0,0.386273,0,0,0,0,0,0,0,0,0,0.815803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217972,0,0,0,0,0,0,0,0,0,0,0,0.234627,0.726662,0,0,0,0,0,0,0,0,0,0,0.212882,0.405598,0,0,0,0,0,0,0,0.850653,0,0,0,0,0,0.628474,0,0,0,0,0,0,0.208397,0,0,0,0,0,0,0.957938,0,0.487325,0,0.157605,0,0,0.263931,0,0,0,0,0,0.616307,0,0,0,0,0,0,0,0,0.126702,0.271482,0.26893,0.353958,0,0.279612,0,0,0,0,0,0.990272,0,0,0.171568,0,0,0,0.418926,0,0,0.489179,0,0,0,0,0,0,0.688454,0,0,0,0,0,0,0,0,0.531739,0.428485,0,0.682491,0,0,0,0,0.343211,0,0,0,0.228694,0.419882,0,0,0,0,0,0,0,0.117948,0,0.843946,0.247876,0,0,0,0,0,0,0,0,0.278359,0,0,0,0,0,0,0,0,0,0,0,0,0.174488,0,0.623372,0,0,0,0.622173,0,0,0,0,0,0,0,0,0,0,0,0,0.45421,0,0,0,0,0,0,0,0.294443,0,0,0,0,0.256838,0.6025,0,0.522822,1.260947,0,0,0,0,0,0,0.231394,0,0,0.24997,0.06749,0,0.38686,0.751742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.082675,0,0,0,0,0,0
