"","x"
"X305",1
"X306",1
"X307",1
"X308",1
"X309",1
"X310",1
"X311",1
"X312",1
"X313",1
"X314",1
"X315",1
"X316",1
"X317",3
"X318",1
"X319",1
"X320",1
"X321",1
"X322",1
"X323",1
"X324",1
"X325",1
"X326",3
"X327",1
"X328",1
"X329",1
"X330",1
"X331",1
"X332",1
"X333",1
"X334",1
"X335",1
"X336",1
"X337",1
"X338",1
"X339",1
"X340",1
"X341",1
"X342",1
"X343",1
"X344",1
"X345",1
"X346",1
"X347",1
"X348",1
"X349",1
"X350",1
"X351",1
"X352",1
"X353",1
"X354",1
"X355",1
"X356",1
"X357",1
"X358",1
"X359",1
"X360",1
"X361",1
"X362",1
"X363",1
"X364",1
"X365",1
"X366",1
"X367",1
"X368",1
"X369",1
"X370",1
"X371",1
"X372",1
"X373",1
"X374",1
"X375",1
"X376",1
"X377",1
"X378",1
"X379",1
"X380",1
"X381",1
"X382",1
"X383",1
"X384",1
"X385",1
"X386",1
"X387",1
"X388",1
"X389",1
"X390",1
"X391",1
"X392",1
"X393",1
"X394",1
"X395",1
"X396",1
"X397",1
"X398",1
"X399",1
"X400",1
"X401",1
"X402",1
"X403",1
"X404",1
"X405",1
"X406",1
"X407",1
"X408",1
"X409",1
"X410",1
"X411",1
"X412",1
"X413",1
"X414",1
"X415",1
"X416",1
"X417",1
"X418",1
"X419",1
"X420",1
"X421",1
"X422",1
"X423",1
"X424",1
"X425",1
"X426",1
"X427",1
"X428",1
"X429",1
"X430",1
"X431",1
"X432",1
"X433",1
"X434",1
"X435",1
"X436",1
"X437",1
"X438",1
"X439",1
"X440",1
"X441",1
"X442",1
"X443",1
"X444",1
"X445",1
"X446",1
"X447",4
"X448",1
"X449",1
"X450",1
"X451",1
"X452",1
"X453",1
"X454",1
"X455",1
"X456",1
"X457",1
"X458",1
"X459",1
"X460",1
"X461",1
"X462",1
"X463",1
"X464",1
"X465",1
"X466",1
"X467",1
"X468",1
"X469",1
"X470",1
"X471",1
"X472",1
"X473",1
"X474",1
"X475",1
"X476",1
"X477",1
"X478",1
"X479",1
"X480",1
"X481",1
"X482",1
"X483",1
"X484",1
"X485",1
"X486",1
"X487",1
"X488",1
"X489",1
"X490",1
"X491",1
"X492",1
"X493",1
"X494",1
"X495",1
"X496",3
"X497",1
"X498",1
"X499",1
"X500",1
"X501",1
"X502",1
"X503",1
"X504",1
"X505",1
"X506",1
"X507",1
"X508",1
"X509",1
"X510",1
"X511",1
"X512",1
"X513",1
"X514",1
"X515",1
"X516",1
"X517",1
"X518",4
"X519",1
"X520",1
"X521",1
"X522",1
"X523",1
"X524",1
"X525",1
"X526",1
"X527",1
"X528",1
"X529",1
"X530",1
"X531",1
"X532",1
"X533",1
"X534",1
"X535",1
"X536",1
"X537",1
"X538",1
"X539",1
"X540",1
"X541",1
"X542",1
"X543",1
"X544",1
"X545",1
"X546",1
"X547",1
"X548",1
"X549",1
"X550",1
"X551",1
"X552",1
"X553",1
"X554",1
"X555",1
"X556",1
"X557",1
"X558",1
"X559",1
"X560",1
"X561",1
"X562",1
"X563",1
"X564",1
"X565",1
"X566",1
"X567",1
"X568",1
"X569",1
"X570",1
"X571",1
"X572",1
"X573",1
"X574",1
"X575",1
"X576",1
"X577",1
"X578",1
"X579",1
"X580",2
"X581",1
"X582",1
"X583",1
"X584",1
"X585",1
"X586",1
"X587",1
"X588",1
"X589",1
"X590",1
"X591",1
"X592",1
"X593",1
"X594",1
"X595",1
"X596",1
"X597",1
"X598",1
"X599",1
"X600",1
"X601",1
"X602",1
"X603",1
"X604",1
"X605",1
"X606",1
"X607",1
"X608",1
"X609",1
"X610",1
"X611",1
"X612",1
"X613",1
"X614",1
"X615",1
"X616",1
"X617",1
"X618",1
"X619",1
"X620",3
"X621",3
"X622",1
"X623",1
"X624",4
"X625",1
"X626",1
"X627",1
"X628",1
"X629",1
"X630",1
"X631",1
"X632",1
"X633",1
"X634",1
"X635",1
"X636",1
"X637",1
"X638",1
"X639",1
"X640",1
"X641",1
"X642",1
"X643",1
"X644",1
"X645",1
"X646",1
"X647",1
"X648",1
"X649",1
"X650",1
"X651",1
"X652",1
"X653",1
"X654",1
"X655",1
"X656",1
"X657",1
"X658",1
"X659",1
"X660",1
"X661",1
"X662",1
"X663",1
"X664",1
"X665",1
"X666",1
"X667",1
"X668",1
"X669",1
"X670",1
"X671",1
"X672",1
"X673",1
"X674",1
"X675",4
"X676",1
"X677",1
"X678",1
"X679",1
"X680",1
"X681",1
"X682",1
"X683",1
"X684",1
"X685",4
"X686",1
"X687",1
"X688",1
"X689",4
"X690",1
"X691",1
"X692",1
"X693",1
"X694",1
"X695",1
"X696",1
"X697",1
"X698",1
"X699",1
"X700",1
"X701",1
"X702",1
"X703",1
"X704",1
"X705",1
"X706",1
"X707",1
"X708",1
"X709",1
"X710",1
"X711",1
"X712",1
"X713",1
"X714",1
"X715",1
"X716",1
"X717",1
"X718",1
"X719",1
"X720",1
"X721",1
"X722",1
"X723",1
"X724",1
"X725",1
"X726",1
"X727",1
"X728",1
"X729",1
"X730",1
"X731",1
"X732",1
"X733",2
"X734",1
"X735",1
"X736",1
"X737",1
"X738",1
"X739",1
"X740",1
"X741",1
"X742",1
"X743",1
"X744",1
"X745",1
"X746",1
"X747",1
"X748",1
"X749",1
"X750",1
"X751",1
"X752",1
"X753",1
"X754",1
"X755",1
"X756",1
"X757",1
"X758",1
"X759",1
"X760",3
"X761",1
"X762",1
"X763",3
"X764",1
"X765",1
"X766",1
"X767",1
"X768",1
"X769",1
"X770",1
"X771",1
"X772",1
"X773",1
"X774",1
"X775",1
"X776",1
"X777",1
"X778",1
"X779",1
"X780",1
"X781",1
"X782",1
"X783",1
"X784",1
"X785",1
"X786",1
"X787",1
"X788",1
"X789",1
"X790",1
"X791",1
"X792",1
"X793",1
"X794",1
"X795",1
"X796",1
"X797",1
"X798",1
"X799",1
"X800",1
"X801",1
"X802",1
"X803",1
"X804",1
"X805",1
"X806",1
"X807",1
"X808",1
"X809",1
"X810",1
"X811",1
"X812",1
"X813",1
"X814",1
"X815",1
"X816",1
"X817",1
"X818",1
"X819",1
"X820",1
"X821",2
"X822",1
"X823",1
"X824",1
"X825",1
"X826",1
"X827",1
"X828",1
"X829",1
"X830",1
"X831",1
"X832",1
"X833",1
"X834",1
"X835",1
"X836",1
"X837",1
"X838",1
"X839",1
"X840",1
"X841",1
"X842",1
"X843",1
"X844",1
"X845",1
"X846",1
"X847",1
"X848",1
"X849",1
"X850",1
"X851",1
"X852",1
"X853",1
"X854",1
"X855",1
"X856",1
"X857",1
"X858",1
"X859",1
"X860",1
"X861",1
"X862",1
"X863",1
"X864",2
"X865",1
"X866",1
"X867",1
"X868",1
"X869",1
"X870",1
"X871",1
"X872",1
"X873",1
"X874",1
"X875",1
"X876",1
"X877",1
"X878",1
"X879",1
"X880",1
"X881",1
"X882",1
"X883",1
"X884",1
"X885",1
"X886",1
"X887",1
"X888",1
"X889",1
"X890",1
"X891",1
"X892",1
"X893",1
"X894",1
"X895",1
"X896",1
"X897",1
"X898",1
"X899",1
"X900",1
"X901",4
"X902",1
"X903",1
"X904",1
"X905",1
"X906",1
"X907",1
"X908",1
"X909",4
"X910",1
"X911",1
"X912",1
"X913",1
"X914",1
"X915",1
"X916",1
"X917",1
"X918",1
"X919",1
"X920",1
"X921",1
"X922",1
"X923",1
"X924",1
"X925",1
"X926",1
"X927",1
"X928",1
"X929",1
"X930",1
"X931",1
"X932",1
"X933",1
"X934",1
"X935",1
"X936",1
"X937",1
"X938",1
"X939",1
"X940",1
"X941",1
"X942",1
"X943",1
"X944",1
"X945",1
"X946",1
"X947",1
"X948",2
"X949",4
"X950",1
"X951",2
"X952",1
"X953",1
"X954",1
"X955",1
"X956",1
"X957",1
"X958",1
"X959",1
"X960",1
"X961",1
"X962",1
"X963",1
"X964",1
"X965",1
"X966",1
"X967",1
"X968",1
"X969",1
"X970",1
"X971",1
"X972",1
"X973",2
"X974",1
"X975",1
"X976",1
"X977",3
"X978",1
"X979",1
"X980",1
"X981",1
"X982",1
"X983",1
"X984",1
"X985",1
"X986",1
"X987",1
"X988",1
"X989",1
"X990",1
"X991",1
"X992",1
"X993",1
"X994",1
"X995",1
"X996",1
"X997",1
"X998",3
"X999",1
"X1000",1
"X1001",1
"X1002",1
"X1003",1
"X1004",1
"X1005",1
"X1006",1
"X1007",1
"X1008",1
"X1009",1
"X1010",1
"X1011",1
"X1012",1
"X1013",1
"X1014",1
"X1015",1
"X1016",1
"X1017",1
"X1018",1
"X1019",1
"X1020",1
"X1021",1
"X1022",1
"X1023",1
"X1024",4
"X1025",1
"X1026",1
"X1027",1
"X1028",1
"X1029",1
"X1030",1
"X1031",1
"X1032",1
"X1033",1
"X1034",1
"X1035",1
"X1036",1
"X1037",1
"X1038",1
"X1039",1
"X1040",1
"X1041",1
"X1042",1
"X1043",1
"X1044",1
"X1045",1
"X1046",1
"X1047",1
"X1048",1
"X1049",1
"X1050",1
"X1051",1
"X1052",1
"X1053",1
"X1054",1
"X1055",1
"X1056",1
"X1057",1
"X1058",4
"X1059",1
"X1060",4
"X1061",1
"X1062",1
"X1063",1
"X1064",1
"X1065",1
"X1066",1
"X1067",1
"X1068",1
"X1069",1
"X1070",1
"X1071",1
"X1072",2
"X1073",1
"X1074",1
"X1075",1
"X1076",1
"X1077",1
"X1078",1
"X1079",1
"X1080",1
"X1081",1
"X1082",1
"X1083",1
"X1084",1
"X1085",1
"X1086",1
"X1087",1
"X1088",1
"X1089",1
"X1090",1
"X1091",1
"X1092",1
"X1093",1
"X1094",1
"X1095",1
"X1096",1
"X1097",1
"X1098",1
"X1099",1
"X1100",1
"X1101",1
"X1102",1
"X1103",1
"X1104",1
"X1105",1
"X1106",1
"X1107",1
"X1108",1
"X1109",1
"X1110",1
"X1111",1
"X1112",1
"X1113",1
"X1114",1
"X1115",1
"X1116",1
"X1117",4
"X1118",1
"X1119",4
"X1120",4
"X1121",1
"X1122",1
"X1123",1
"X1124",1
"X1125",1
"X1126",1
"X1127",1
"X1128",1
"X1129",1
"X1130",1
"X1131",1
"X1132",1
"X1133",1
"X1134",1
"X1135",1
"X1136",1
"X1137",1
"X1138",1
"X1139",1
"X1140",1
"X1141",2
"X1142",1
"X1143",1
"X1144",1
"X1145",1
"X1146",1
"X1147",1
"X1148",1
"X1149",1
"X1150",1
"X1151",1
"X1152",1
"X1153",1
"X1154",1
"X1155",1
"X1156",1
"X1157",1
"X1158",1
"X1159",1
"X1160",1
"X1161",1
"X1162",1
"X1163",1
"X1164",1
"X1165",1
"X1166",1
"X1167",1
"X1168",1
"X1169",1
"X1170",1
"X1171",1
"X1172",1
"X1173",1
"X1174",1
"X1175",1
"X1176",1
"X1177",1
"X1178",1
"X1179",1
"X1180",1
"X1181",1
"X1182",1
"X1183",1
"X1184",1
"X1185",4
"X1186",1
"X1187",1
"X1188",1
"X1189",3
"X1190",1
"X1191",2
"X1192",1
"X1193",1
"X1194",1
"X1195",1
"X1196",1
"X1197",1
"X1198",1
"X1199",1
"X1200",1
"X1201",1
"X1202",1
"X1203",1
"X1204",1
"X1205",1
"X1206",1
"X1207",1
"X1208",1
"X1209",1
"X1210",1
"X1211",1
"X1212",1
"X1213",1
"X1214",1
"X1215",1
"X1216",1
"X1217",1
"X1218",1
"X1219",1
"X1220",1
"X1221",1
"X1222",1
"X1223",1
"X1224",1
"X1225",1
"X1226",1
"X1227",1
"X1228",1
"X1229",1
"X1230",1
"X1231",1
"X1232",1
"X1233",1
"X1234",1
"X1235",1
"X1236",1
"X1237",1
"X1238",1
"X1239",1
"X1240",1
"X1241",1
"X1242",1
"X1243",1
"X1244",1
"X1245",1
"X1246",1
"X1247",1
"X1248",1
"X1249",1
"X1250",1
"X1251",1
"X1252",1
"X1253",1
"X1254",1
"X1255",1
"X1256",1
"X1257",1
"X1258",1
"X1259",1
"X1260",4
"X1261",1
"X1262",1
"X1263",1
"X1264",1
"X1265",1
"X1266",1
"X1267",1
"X1268",1
"X1269",1
"X1270",1
"X1271",1
"X1272",1
"X1273",1
"X1274",1
"X1275",1
"X1276",1
"X1277",1
"X1278",1
"X1279",1
"X1280",1
"X1281",1
"X1282",1
"X1283",1
"X1284",1
"X1285",1
"X1286",4
"X1287",1
"X1288",3
"X1289",1
"X1290",1
"X1291",1
"X1292",1
"X1293",1
"X1294",1
"X1295",1
"X1296",1
"X1297",1
"X1298",1
"X1299",1
"X1300",1
"X1301",1
"X1302",1
"X1303",1
"X1304",1
"X1305",1
"X1306",1
"X1307",1
"X1308",1
"X1309",1
"X1310",1
"X1311",1
"X1312",1
"X1313",1
"X1314",1
"X1315",1
"X1316",1
"X1317",1
"X1318",1
"X1319",1
"X1320",1
"X1321",1
"X1322",1
"X1323",1
"X1324",1
"X1325",1
"X1326",1
"X1327",1
"X1328",1
"X1329",1
"X1330",1
"X1331",1
"X1332",4
"X1333",1
"X1334",4
"X1335",1
"X1336",1
"X1337",1
"X1338",1
"X1339",1
"X1340",1
"X1341",1
"X1342",1
"X1343",1
"X1344",1
"X1345",1
"X1346",1
"X1347",1
"X1348",1
"X1349",1
"X1350",1
"X1351",1
"X1352",1
"X1353",1
"X1354",1
"X1355",1
"X1356",1
"X1357",1
"X1358",4
"X1359",1
"X1360",1
"X1361",1
"X1362",1
"X1363",1
"X1364",1
"X1365",1
"X1366",1
"X1367",1
"X1368",1
"X1369",1
"X1370",1
"X1371",1
"X1372",1
"X1373",1
"X1374",1
"X1375",1
"X1376",4
"X1377",1
"X1378",1
"X1379",1
"X1380",1
"X1381",1
"X1382",1
"X1383",1
"X1384",1
"X1385",1
"X1386",1
"X1387",1
"X1388",1
"X1389",1
"X1390",1
"X1391",1
"X1392",1
"X1393",1
"X1394",1
"X1395",1
"X1396",1
"X1397",1
"X1398",1
"X1399",1
"X1400",1
"X1401",1
"X1402",1
"X1403",1
"X1404",1
"X1405",1
"X1406",1
"X1407",1
"X1408",1
"X1409",1
"X1410",1
"X1411",1
"X1412",1
"X1413",1
"X1414",1
"X1415",1
"X1416",1
"X1417",1
"X1418",1
"X1419",1
"X1420",1
"X1421",1
"X1422",1
"X1423",1
"X1424",1
"X1425",1
"X1426",1
"X1427",1
"X1428",1
"X1429",1
"X1430",1
"X1431",1
"X1432",1
"X1433",1
"X1434",1
"X1435",1
"X1436",1
"X1437",1
"X1438",1
"X1439",1
"X1440",1
"X1441",1
"X1442",1
"X1443",1
"X1444",1
"X1445",1
"X1446",1
"X1447",1
"X1448",1
"X1449",1
"X1450",1
"X1451",1
"X1452",1
"X1453",1
"X1454",1
"X1455",1
"X1456",1
"X1457",1
"X1458",1
"X1459",1
"X1460",1
"X1461",1
"X1462",1
"X1463",1
"X1464",1
"X1465",1
"X1466",1
"X1467",1
"X1468",1
"X1469",1
"X1470",1
"X1471",1
"X1472",1
"X1473",1
"X1474",1
"X1475",1
"X1476",1
"X1477",1
"X1478",1
"X1479",1
"X1480",1
"X1481",1
"X1482",1
"X1483",1
"X1484",3
"X1485",1
"X1486",1
"X1487",1
"X1488",1
"X1489",1
"X1490",1
"X1491",1
"X1492",1
"X1493",1
"X1494",1
"X1495",2
"X1496",1
"X1497",1
"X1498",1
"X1499",1
"X1500",1
"X1501",1
"X1502",1
"X1503",1
"X1504",1
"X1505",1
"X1506",1
"X1507",1
"X1508",1
"X1509",1
"X1510",4
"X1511",1
"X1512",1
"X1513",1
"X1514",1
"X1515",1
"X1516",1
"X1517",1
"X1518",1
"X1519",1
"X1520",1
"X1521",1
"X1522",1
"X1523",1
"X1524",1
"X1525",1
"X1526",3
"X1527",1
"X1528",1
"X1529",1
"X1530",1
"X1531",1
"X1532",1
"X1533",1
"X1534",1
"X1535",1
"X1536",1
"X1537",1
"X1538",1
"X1539",1
"X1540",1
"X1541",1
"X1542",1
"X1543",1
"X1544",1
"X1545",1
"X1546",1
"X1547",1
"X1548",1
"X1549",1
"X1550",4
"X1551",4
"X1552",1
"X1553",1
"X1554",1
"X1555",1
"X1556",1
"X1557",1
"X1558",1
"X1559",1
"X1560",1
"X1561",1
"X1562",1
"X1563",1
"X1564",1
"X1565",1
"X1566",1
"X1567",1
"X1568",1
"X1569",1
"X1570",1
"X1571",1
"X1572",1
"X1573",1
"X1574",1
"X1575",1
"X1576",4
"X1577",4
"X1578",4
"X1579",1
"X1580",1
"X1581",1
"X1582",1
"X1583",1
"X1584",1
"X1585",1
"X1586",4
"X1587",3
"X1588",1
"X1589",1
"X1590",1
"X1591",1
"X1592",1
"X1593",1
"X1594",1
"X1595",1
"X1596",1
"X1597",1
"X1598",1
"X1599",1
"X1600",1
"X1601",1
"X1602",1
"X1603",1
"X1604",1
"X1605",1
"X1606",1
"X1607",2
"X1608",1
"X1609",1
"X1610",1
"X1611",1
"X1612",1
"X1613",1
"X1614",1
"X1615",1
"X1616",1
"X1617",1
"X1618",1
"X1619",1
"X1620",1
"X1621",1
"X1622",1
"X1623",1
"X1624",1
"X1625",1
"X1626",1
"X1627",1
"X1628",1
"X1629",1
"X1630",1
"X1631",1
"X1632",1
"X1633",1
"X1634",1
"X1635",1
"X1636",1
"X1637",1
"X1638",3
"X1639",1
"X1640",1
"X1641",1
"X1642",1
"X1643",1
"X1644",1
"X1645",1
"X1646",1
"X1647",1
"X1648",1
"X1649",1
"X1650",1
"X1651",1
"X1652",1
"X1653",1
"X1654",1
"X1655",1
"X1656",1
"X1657",1
"X1658",1
"X1659",1
"X1660",1
"X1661",1
"X1662",1
"X1663",1
"X1664",1
"X1665",1
"X1666",1
"X1667",1
"X1668",1
"X1669",1
"X1670",1
"X1671",1
"X1672",1
"X1673",1
"X1674",1
"X1675",1
"X1676",1
"X1677",1
"X1678",1
"X1679",1
"X1680",1
"X1681",1
"X1682",1
"X1683",1
"X1684",1
"X1685",4
"X1686",1
"X1687",1
"X1688",1
"X1689",1
"X1690",1
"X1691",1
"X1692",1
"X1693",1
"X1694",1
"X1695",1
"X1696",1
"X1697",1
"X1698",1
"X1699",1
"X1700",1
"X1701",1
"X1702",1
"X1703",1
"X1704",1
"X1705",1
"X1706",1
"X1707",1
"X1708",1
"X1709",1
"X1710",1
"X1711",1
"X1712",1
"X1713",1
"X1714",1
"X1715",4
"X1716",1
"X1717",1
"X1718",1
"X1719",1
"X1720",1
"X1721",1
"X1722",1
"X1723",1
"X1724",1
"X1725",1
"X1726",1
"X1727",1
"X1728",1
"X1729",1
"X1730",1
"X1731",1
"X1732",1
"X1733",1
"X1734",1
"X1735",1
"X1736",1
"X1737",1
"X1738",1
"X1739",1
"X1740",1
"X1741",1
"X1742",1
"X1743",1
"X1744",1
"X1745",1
"X1746",1
"X1747",4
"X1748",1
"X1749",1
"X1750",1
"X1751",1
"X1752",1
"X1753",1
"X1754",1
"X1755",1
"X1756",1
"X1757",1
"X1758",1
"X1759",1
"X1760",1
"X1761",1
"X1762",1
"X1763",1
"X1764",1
"X1765",1
"X1766",1
"X1767",1
"X1768",1
"X1769",1
"X1770",1
"X1771",1
"X1772",1
"X1773",1
"X1774",1
"X1775",1
"X1776",1
"X1777",1
"X1778",3
"X1779",1
"X1780",1
"X1781",1
"X1782",1
"X1783",1
"X1784",1
"X1785",1
"X1786",1
"X1787",1
"X1788",1
"X1789",1
"X1790",1
"X1791",1
"X1792",1
"X1793",1
"X1794",1
"X1795",1
"X1796",1
"X1797",1
"X1798",1
"X1799",1
"X1800",1
"X1801",1
"X1802",1
"X1803",1
"X1804",1
"X1805",1
"X1806",1
"X1807",1
"X1808",1
"X1809",1
"X1810",1
"X1811",1
"X1812",1
"X1813",1
"X1814",1
"X1815",1
"X1816",1
"X1817",1
"X1818",1
"X1819",1
"X1820",1
"X1821",1
"X1822",1
"X1823",1
"X1824",1
"X1825",1
"X1826",1
"X1827",1
"X1828",1
"X1829",1
"X1830",1
"X1831",1
"X1832",3
"X1833",1
"X1834",1
"X1835",1
"X1836",1
"X1837",1
"X1838",1
"X1839",1
"X1840",1
"X1841",1
"X1842",1
"X1843",1
"X1844",1
"X1845",1
"X1846",1
"X1847",1
"X1848",1
"X1849",1
"X1850",1
"X1851",1
"X1852",1
"X1853",1
"X1854",1
"X1855",1
"X1856",1
"X1857",1
"X1858",1
"X1859",1
"X1860",1
"X1861",1
"X1862",1
"X1863",1
"X1864",1
"X1865",1
"X1866",1
"X1867",1
"X1868",1
"X1869",1
"X1870",1
"X1871",1
"X1872",1
"X1873",1
"X1874",1
"X1875",1
"X1876",1
"X1877",1
"X1878",1
"X1879",1
"X1880",1
"X1881",1
"X1882",1
"X1883",1
"X1884",1
"X1885",1
"X1886",1
"X1887",1
"X1888",1
"X1889",1
"X1890",1
"X1891",1
"X1892",1
"X1893",1
"X1894",1
"X1895",1
"X1896",1
"X1897",1
"X1898",1
"X1899",1
"X1900",1
"X1901",1
"X1902",1
"X1903",1
"X1904",1
"X1905",1
"X1906",1
"X1907",1
"X1908",1
"X1909",1
"X1910",1
"X1911",1
"X1912",1
"X1913",1
"X1914",1
"X1915",1
"X1916",1
"X1917",1
"X1918",1
"X1919",1
"X1920",1
"X1921",1
"X1922",1
"X1923",1
"X1924",1
"X1925",1
"X1926",1
"X1927",1
"X1928",1
"X1929",1
"X1930",1
"X1931",1
"X1932",1
"X1933",1
"X1934",1
"X1935",1
"X1936",1
"X1937",1
"X1938",1
"X1939",1
"X1940",1
"X1941",1
"X1942",1
"X1943",1
"X1944",1
"X1945",1
"X1946",1
"X1947",1
"X1948",1
"X1949",1
"X1950",1
"X1951",1
"X1952",1
"X1953",1
"X1954",1
"X1955",1
"X1956",1
"X1957",1
"X1958",1
"X1959",1
"X1960",1
"X1961",1
"X1962",1
"X1963",1
"X1964",1
"X1965",1
"X1966",1
"X1967",1
"X1968",1
"X1969",1
"X1970",4
"X1971",1
"X1972",1
"X1973",1
"X1974",1
"X1975",1
"X1976",1
"X1977",1
"X1978",1
"X1979",1
"X1980",1
"X1981",1
"X1982",1
"X1983",1
"X1984",1
"X1985",1
"X1986",1
"X1987",1
"X1988",1
"X1989",1
"X1990",1
"X1991",1
"X1992",1
"X1993",1
"X1994",1
"X1995",1
"X1996",1
"X1997",1
"X1998",1
"X1999",1
"X2000",1
"X2001",1
"X2002",3
"X2003",1
"X2004",1
"X2005",1
"X2006",1
"X2007",1
"X2008",1
"X2009",1
"X2010",1
"X2011",1
"X2012",1
"X2013",1
"X2014",1
"X2015",1
"X2016",1
"X2017",1
"X2018",1
"X2019",1
"X2020",1
"X2021",1
"X2022",1
"X2023",1
"X2024",1
"X2025",1
"X2026",1
"X2027",1
"X2028",1
"X2029",1
"X2030",1
"X2031",1
"X2032",1
"X2033",1
"X2034",1
"X2035",1
"X2036",1
"X2037",1
"X2038",1
"X2039",1
"X2040",1
"X2041",1
"X2042",1
"X2043",1
"X2044",1
"X2045",1
"X2046",1
"X2047",1
"X2048",1
"X2049",1
"X2050",1
"X2051",1
"X2052",1
"X2053",1
"X2054",1
"X2055",1
"X2056",1
"X2057",1
"X2058",1
"X2059",1
"X2060",1
"X2061",1
"X2062",1
"X2063",1
"X2064",1
"X2065",1
"X2066",1
"X2067",1
"X2068",1
"X2069",1
"X2070",1
"X2071",1
"X2072",1
"X2073",1
"X2074",1
"X2075",1
"X2076",1
"X2077",1
"X2078",1
"X2079",1
"X2080",1
"X2081",1
"X2082",1
"X2083",1
"X2084",1
"X2085",1
"X2086",1
"X2087",1
"X2088",1
"X2089",1
"X2090",1
"X2091",1
"X2092",1
"X2093",1
"X2094",1
"X2095",1
"X2096",1
"X2097",1
"X2098",1
"X2099",1
"X2100",1
"X2101",1
"X2102",1
"X2103",1
"X2104",1
"X2105",1
"X2106",1
"X2107",1
"X2108",1
"X2109",1
"X2110",1
"X2111",1
"X2112",1
"X2113",1
"X2114",1
"X2115",1
"X2116",1
"X2117",1
"X2118",1
"X2119",1
"X2120",1
"X2121",1
"X2122",1
"X2123",1
"X2124",1
"X2125",1
"X2126",1
"X2127",1
"X2128",1
"X2129",1
"X2130",1
"X2131",1
"X2132",1
"X2133",1
"X2134",1
"X2135",1
"X2136",1
"X2137",1
"X2138",1
"X2139",1
"X2140",1
"X2141",1
"X2142",1
